"","block","tree","trunk_mm","TCSA_cm2","no_scaffolds","avg_scaffold_l","sd_scaffold_l","avg_scaffold_d","sd_scaffold_d","avg_angle","sd_angle","avg_absorbed","avg_extinction","avg_extinction_low","avg_extinction_high","avg_sugar","avg_sugar_out","sugar_diff"
"20",4,5,201,317,3,513,78.799,128,13.013,62,10.408,0.695,1.66,1.64,1.652,10.08,10.1,-5.053
"21",5,1,175,241,3,350,26.458,102,18.93,48,5.774,0.668,1.253,1.523,0.952,9.88,10.35,-7.403
"22",5,2,190,284,3,428,24.664,125,13.229,58,7.638,0.881,2.318,2.313,2.353,11.9,12.38,-3.25
"23",5,3,164,211,3,418,23.094,105,5.292,47,7.638,0.832,2.291,2.878,2.12,10.8,11.05,-3.623
"24",5,4,148,172,3,389,23.516,91,7,62,16.073,0.777,2.069,2.76,1.381,11.56,12.05,-5.951
"25",5,5,194,296,3,502,27.209,127,5.774,47,2.887,0.8,1.896,2.299,1.654,10.04,10.05,-5.046
"26",6,1,96,72,3,231,14.468,60,4.359,42,17.559,0.48,0.876,1.453,0.355,14.92,15.15,-38.437
"27",6,2,113,100,3,269,12.342,71,3.606,37,2.887,NA,NA,NA,NA,NA,NA,NA
"28",6,3,120,113,3,287,8.327,83,5.774,47,2.887,0.721,1.448,1.813,1.007,13.56,14.15,-10.122
"29",6,4,128,129,3,301,11.269,88,4.359,43,16.073,0.684,1.498,1.801,0.994,13.68,14.1,-11.072
"30",6,5,130,133,3,295,29.547,86,10.599,55,5,0.711,1.521,1.695,1.423,12.72,12.9,-7.433
"31",7,1,190,284,3,450,8.505,121,1.732,58,10.408,0.7,1.294,1.368,1.203,11.85,11.85,NA
"32",7,2,187,275,4,436,16.941,104,17.991,52,15.546,0.711,1.346,1.681,0.934,10.04,10.55,-7.565
"33",7,3,218,373,4,450,54.717,120,35.321,59,7.5,0.623,1.056,1.214,0.807,10,10.5,-8.913
"34",7,4,186,272,4,436,15.861,106,11.958,54,6.292,0.719,1.828,1.73,1.69,10.4,10.7,-4.444
"35",7,5,202,320,4,462,31.383,116,23.728,55,10,0.838,2.157,2.191,1.964,8.84,9.2,-2.768
"36",8,1,137,147,3,330,13.204,81,21.455,45,13.229,0.713,1.832,1.632,1.62,13.88,14,-7.272
"37",8,2,134,141,3,311,9.713,86,7.572,48,10.408,0.716,1.655,2.046,1.199,11.76,12.25,-7.173
"38",8,3,126,125,3,311,9.074,84,3.606,50,5,0.736,1.638,1.703,1.353,12.72,13,-7.574
"39",8,4,132,137,3,344,43.981,89,7.81,43,7.638,0.758,1.979,2.076,1.635,12.64,12.8,-6.339
"40",8,5,124,121,3,315,11.015,80,4.509,50,5,0.654,1.504,1.801,1.021,13.32,13.4,-11.733
"41",9,1,224,394,4,512,81.92,124,47.948,58,9.574,0.605,1.181,1.284,1.056,10.64,10.15,-10.932
"42",9,2,194,296,4,417,47.868,106,26.752,49,15.478,0.739,1.719,1.732,1.613,11.28,11.35,-5.82
"43",9,3,214,360,4,486,48.273,120,42.759,50,5.774,0.668,1.347,1.447,1.079,11.2,11.3,-9.009
"44",9,4,224,394,4,552,61.539,138,14.457,49,11.815,0.784,1.972,2.037,2.164,9.6,9.75,-3.159
"45",9,5,242,460,4,505,140.999,133,29.341,46,2.5,0.766,1.58,1.563,1.465,10.16,10.2,-5.826
"46",10,1,128,129,3,331,10.536,27,4.359,65,5,0.859,2.627,3.043,2.231,11.64,12.4,-2.855
"47",10,2,140,154,5,334,14.377,76,12.095,48,7.583,0.931,3.027,3.256,1.484,12,12.5,-5.739
"48",10,3,126,125,4,293,24.993,71,20.017,52,12.583,0.894,2.967,3.438,2.451,12,12,-3.896
"49",10,4,129,131,4,306,22.277,75,20.017,49,7.5,0.737,1.806,2.237,1.245,11.28,11.6,-7.032
"50",10,5,117,108,3,288,8.386,75,8.083,55,5,0.941,3.007,3.212,2.633,11.64,12.05,-2.798
"51",11,1,168,222,4,424,13.292,96,16.299,45,5.774,0.89,2.524,3.202,2.02,8.96,9.15,-3.059
"52",11,2,160,201,4,398,53.238,88,22.457,49,4.787,0.901,2.529,2.976,2.072,8.56,8.65,-2.958
"53",11,3,172,232,4,420,10.34,92,12.92,66,4.787,0.876,2.278,2.316,2.091,9.52,9.7,-3.209
"54",11,4,160,201,4,424,68.012,92,16.743,59,8.539,0.813,1.918,2.32,1.205,9.44,9.5,-6.635
"55",11,5,186,272,3,466,12.503,114,19.053,57,7.638,0.871,2.309,2.445,2.133,8.92,8.8,-3.407
"56",12,1,190,284,3,542,7.506,129,3.606,58,14.434,0.848,2.069,1.872,2.202,8.16,8.4,-2.27
"57",12,2,193,293,2,498,18.385,134,11.314,58,3.536,0.776,1.81,1.93,1.77,10.48,10.5,-4.876
"58",12,3,189,281,4,464,59.202,95,17.205,51,11.087,0.841,1.94,1.918,1.922,8.92,9.35,-2.746
"59",12,4,210,346,3,552,20.817,124,31.533,53,7.638,0.789,1.613,1.719,1.6,9.56,8.85,-6.75
"60",12,5,188,278,4,486,55.722,103,30.215,55,11.547,0.731,1.425,1.554,1.266,9.72,9.65,-6.899
"61",13,1,89,62,3,233,7.095,53,3.606,57,2.887,0.721,1.349,1.255,1.201,12.8,13.25,-8.159
"62",13,2,90,64,3,244,17.088,56,3.786,55,8.66,0.568,0.96,1.327,0.492,14.28,14.3,-27.862
"63",13,3,82,53,3,242,40.278,47,21.733,58,2.887,0.646,1.258,1.374,0.722,13.96,13.9,-18.668
"64",13,4,85,57,3,233,13.65,53,5.508,15,5,0.529,0.891,1.121,0.399,14.6,14.9,-32.584
"65",13,5,95,71,3,279,25.423,62,5.686,58,2.887,0.622,1.194,1.542,0.577,13,13,-21.53
"66",14,1,178,249,3,438,38.223,106,9.849,63,5.774,0.62,1.036,1.031,0.948,10.28,10.65,-8.283
"67",14,2,204,327,4,394,61.343,114,28.531,56,7.5,0.402,0.564,0.53,0.368,11.16,11.55,-25.087
"68",14,3,205,330,4,404,84.48,105,33.793,44,11.087,0.564,1.063,1.175,0.593,12.04,12.35,-17.212
"69",14,4,203,324,5,417,85.84,101,25.233,57,8.367,0.715,1.462,1.939,1.077,10.48,10.3,-9.399
"70",14,5,205,330,3,413,44.441,129,14.364,43,2.887,0.595,1.149,1.129,0.622,12.32,13.1,-13.791
"71",15,1,122,117,3,335,13.577,84,9.238,43,2.887,0.857,2.146,2.336,1.73,9.2,10,-2.468
"72",15,2,125,123,3,334,14.012,83,12.662,43,7.638,0.839,1.996,2.132,1.794,9.6,10.55,-2.233
"73",15,3,137,147,3,406,38.691,82,10.214,55,5,0.717,1.354,1.218,1.348,10.36,10.2,-7.16
"74",15,4,141,156,3,356,14.048,92,6.506,48,2.887,0.63,1.168,1.537,0.758,10.8,10.95,-12.456
"75",15,5,158,196,3,400,7.55,110,6.658,43,10.408,0.644,1.346,0.997,1.476,10,9.95,-5.911
